Artist,Total Views,Total Subscribers,Avg
BTS,"27,947.9",6300000000.0,7.37
Bad Bunny,"27,573.4",6600000000.0,14.56
Justin Bieber,"27,399.7",3700000000.0,3.99
Ed Sheeran,"26,894.0",3900000000.0,4.61
Taylor Swift,"24,350.0",3800000000.0,5.72
Shakira,"23,961.8",4300000000.0,7.84
Katy Perry,"23,553.4",2500000000.0,3.18
Ozuna,"22,524.8",4900000000.0,4.93
Eminem,"20,937.7",3800000000.0,5.84
Ariana Grande,"20,618.5",3700000000.0,3.37
Daddy Yankee,"20,485.2",4100000000.0,4.54
J Balvin,"20,436.9",3400000000.0,3.19
Blackpink,"20,082.0",3200000000.0,8.63
Maroon 5,"19,430.1",3000000000.0,3.26
Rihanna,"18,683.8",3300000000.0,3.91
Maluma,"18,479.8",3000000000.0,3.11
The Weeknd,"17,668.9",3000000000.0,8.52
Bruno Mars,"16,897.5",2000000000.0,4.19
Marília Mendonça,"16,515.8",5300000000.0,6.4
Enrique Iglesias,"16,395.2",2900000000.0,2.66
David Guetta,"15,484.6",2900000000.0,3.74
Nicky Jam,"14,982.5",2900000000.0,1.67
Coldplay,"14,849.0",2100000000.0,4.05
Beyoncé,"14,681.4",3700000000.0,2.95
Calvin Harris,"14,270.5",2200000000.0,2.09
Luis Fonsi,"14,242.4",1200000000.0,1.57
Romeo Santos,"14,113.2",2600000000.0,4.77
Marshmello,"14,020.7",2900000000.0,2.72
Karol G,"13,981.8",2600000000.0,6.59
Imagine Dragons,"13,444.2",1800000000.0,4.88
Henrique e Juliano,"13,210.1",3700000000.0,4.97
Chris Brown,"13,165.0",3700000000.0,3.84
Lady Gaga,"13,156.0",2800000000.0,4.27
Gusttavo Lima,"12,899.1",3500000000.0,4.19
The Chainsmokers,"12,561.5",1900000000.0,1.6
Guru Randhawa,"12,413.4",3300000000.0,21.63
Alan Walker,"12,329.8",1800000000.0,2.47
Adele,"12,329.6",1700000000.0,2.6
Wiz Khalifa,"12,175.3",1300000000.0,1.9
Anuel AA,"12,111.8",2300000000.0,7.48
Pitbull,"11,989.9",2100000000.0,2.08
One Direction,"11,904.4",1800000000.0,1.78
Banda MS,"11,847.7",2600000000.0,2.66
TWICE,"11,667.0",2400000000.0,3.68
Michael Jackson,"11,662.2",2300000000.0,3.42
Sia,"11,545.7",1700000000.0,2.52
Post Malone,"11,345.7",1800000000.0,3.21
Neha Kakkar,"11,283.5",2000000000.0,2.44
Gummibär,"11,225.7",1300000000.0,2.72
Selena Gomez,"11,062.8",2900000000.0,3.54
Linkin Park,"11,044.5",2500000000.0,2.68
Shawn Mendes,"10,923.6",1600000000.0,2.01
Arijit Singh,"10,850.3",2300000000.0,3.16
YoungBoy Never Broke Again,"10,593.7",2600000000.0,4.87
Drake,"10,361.2",1800000000.0,3.22
Billie Eilish,"10,290.2",2200000000.0,3.04
twenty one pilots,"10,147.7",1400000000.0,2.03
Zé Neto e Cristiano,"10,133.5",2600000000.0,1.72
Los Ángeles Azules,"10,070.7",2600000000.0,4.09
PSY,"9,970.6",1000000000.0,2.22
Yo Yo Honey Singh,"9,522.4",3200000000.0,3.36
Jennifer Lopez,"9,282.3",2400000000.0,1.63
Becky G,"9,280.8",1100000000.0,1.74
Dua Lipa,"9,258.1",1600000000.0,2.84
The Black Eyed Peas,"9,223.4",1900000000.0,2.5
Avicii,"9,135.6",1700000000.0,1.55
Queen,"9,081.0",1600000000.0,1.88
Sebastián Yatra,"9,012.3",1900000000.0,2.76
Nicki Minaj,"9,000.9",2600000000.0,2.02
Rauw Alejandro,"8,927.2",2000000000.0,5.19
Major Lazer,"8,826.7",1200000000.0,1.19
XXXTENTACION,"8,823.3",1800000000.0,1.62
DJ Snake,"8,530.6",1300000000.0,1.89
Charlie Puth,"8,393.3",1000000000.0,1.95
Jorge & Mateus,"8,380.3",2200000000.0,2.69
Sam Smith,"8,294.6",1300000000.0,2.19
Future,"8,146.9",1300000000.0,2.3
Farruko,"8,116.8",2000000000.0,2.19
